customer_id,customer_name,segment,recency,frequency,monetary,R_score,F_score,M_score,RFM_Score,RFM_Segment
AC-615,Ann Chong,Corporate,93,7,2298.43,2,2,2,6,At Risk
AC-660,Anna Chung,Consumer,120,4,2676.09,1,1,2,4,Lost
AD-10180,Alan Dominguez,Home Office,30,27,17858.5,3,4,4,11,Loyal Customers
AD-180,Alan Dominguez,Home Office,6,3,681.29,4,1,1,6,Potential Loyalists
AF-10870,Art Ferguson,Consumer,7,36,26487.26,4,4,4,12,Champions
AF-10885,Art Foster,Consumer,54,35,19711.17,2,4,4,10,At Risk
AF-870,Art Ferguson,Consumer,6,9,1700.08,4,2,2,8,Potential Loyalists
AF-885,Art Foster,Consumer,168,2,354.99,1,1,1,3,Lost
AG-10270,Alejandro Grove,Consumer,41,25,10637.4,2,3,3,8,At Risk
AG-10300,Aleksandra Gannaway,Corporate,3,24,13013.88,4,3,3,10,Champions
AG-10330,Alex Grayson,Consumer,9,29,14534.51,4,4,4,12,Champions
AG-10390,Allen Goldenen,Consumer,115,19,8453.01,1,3,3,7,Cant Lose Them
AG-10495,Andrew Gjertsen,Corporate,79,29,15380.31,2,4,4,10,At Risk
AG-10525,Andy Gerbode,Corporate,13,20,8468.96,4,3,3,10,Champions
AG-10675,Anna Gayman,Consumer,48,21,13023.84,2,3,3,8,At Risk
AG-10765,Anthony Garverick,Home Office,29,27,9824.78,3,4,3,10,Loyal Customers
AG-10900,Arthur Gainer,Consumer,58,29,18174.17,2,4,4,10,At Risk
AG-270,Alejandro Grove,Consumer,14,8,2779.81,4,2,2,8,Potential Loyalists
AG-300,Aleksandra Gannaway,Corporate,99,6,1703.31,2,1,2,5,Hibernating
AG-330,Alex Grayson,Consumer,3,7,532.54,4,2,1,7,Potential Loyalists
AG-390,Allen Goldenen,Consumer,113,4,473.11,1,1,1,3,Lost
AG-495,Andrew Gjertsen,Corporate,49,11,1003.99,2,2,1,5,Hibernating
AG-525,Andy Gerbode,Corporate,16,7,2870.68,3,2,2,7,Potential Loyalists
AG-675,Anna Gayman,Consumer,174,10,2368.13,1,2,2,5,Lost
AG-765,Anthony Garverick,Home Office,115,8,1859.53,1,2,2,5,Lost
AG-900,Arthur Gainer,Consumer,24,4,1699.47,3,1,2,6,Potential Loyalists
AH-10030,Aaron Hawkins,Corporate,13,27,14439.5,4,4,4,12,Champions
AH-10075,Adam Hart,Corporate,3,34,18109.86,4,4,4,12,Champions
AH-10120,Adrian Hane,Home Office,61,22,9927.84,2,3,3,8,At Risk
AH-10195,Alan Haines,Corporate,50,25,12628.19,2,3,3,8,At Risk
AH-10210,Alan Hwang,Consumer,7,34,20365.74,4,4,4,12,Champions
AH-10465,Amy Hunt,Consumer,71,20,8547.83,2,3,3,8,At Risk
AH-10585,Angele Hood,Consumer,22,22,9125.89,3,3,3,9,Loyal Customers
AH-10690,Anna Häberlin,Corporate,31,31,16276.16,3,4,4,11,Loyal Customers
AH-120,Adrian Hane,Home Office,22,4,1478.08,3,1,1,5,Potential Loyalists
AH-195,Alan Haines,Corporate,279,9,2651.56,1,2,2,5,Lost
AH-210,Alan Hwang,Consumer,458,4,3277.11,1,1,2,4,Lost
AH-30,Aaron Hawkins,Corporate,469,7,6320.02,1,2,3,6,Lost
AH-465,Amy Hunt,Consumer,242,4,650.83,1,1,1,3,Lost
AH-585,Angele Hood,Consumer,76,9,2232.22,2,2,2,6,At Risk
AH-690,Anna Häberlin,Corporate,59,5,1817.9,2,1,2,5,Hibernating
AH-75,Adam Hart,Corporate,38,8,3608.34,2,2,2,6,At Risk
AI-10855,Arianne Irving,Consumer,14,22,8358.6,4,3,3,10,Champions
AI-855,Arianne Irving,Consumer,204,4,919.97,1,1,1,3,Lost
AJ-10780,Anthony Jacobs,Corporate,49,25,15186.07,2,3,4,9,At Risk
AJ-10795,Anthony Johnson,Corporate,63,22,8887.08,2,3,3,8,At Risk
AJ-10945,Ashley Jarboe,Consumer,29,29,11087.02,3,4,3,10,Loyal Customers
AJ-10960,Astrea Jones,Consumer,49,17,8633.59,2,3,3,8,At Risk
AJ-780,Anthony Jacobs,Corporate,2,12,2570.99,4,2,2,8,Potential Loyalists
AJ-795,Anthony Johnson,Corporate,37,10,3395.58,2,2,2,6,At Risk
AJ-945,Ashley Jarboe,Consumer,105,7,4860.92,1,2,2,5,Lost
AJ-960,Astrea Jones,Consumer,295,10,4629.16,1,2,2,5,Lost
AM-10360,Alice McCarthy,Corporate,16,33,16730.33,3,4,4,11,Loyal Customers
AM-10705,Anne McFarland,Consumer,26,30,24218.56,3,4,4,11,Loyal Customers
AM-360,Alice McCarthy,Corporate,176,6,2035.83,1,1,2,4,Lost
AM-705,Anne McFarland,Consumer,137,6,1303.77,1,1,1,3,Lost
AO-10810,Anthony O'Donnell,Corporate,37,27,14537.8,2,4,4,10,At Risk
AO-810,Anthony O'Donnell,Corporate,8,5,485.01,4,1,1,6,Potential Loyalists
AP-10720,Anne Pryor,Home Office,42,20,15362.06,2,3,4,9,At Risk
AP-10915,Arthur Prichep,Consumer,77,32,15877.86,2,4,4,10,At Risk
AP-720,Anne Pryor,Home Office,38,6,999.7,2,1,1,4,Hibernating
AP-915,Arthur Prichep,Consumer,93,5,2668.08,2,1,2,5,Hibernating
AR-10345,Alex Russell,Corporate,30,26,14165.8,3,3,4,10,Loyal Customers
AR-10405,Allen Rosenblatt,Corporate,55,22,8956.82,2,3,3,8,At Risk
AR-10510,Andrew Roberts,Consumer,15,29,14277.89,4,4,4,12,Champions
AR-10540,Andy Reiter,Consumer,7,15,7983.95,4,3,3,10,Champions
AR-10570,Anemone Ratner,Consumer,3,18,9445.65,4,3,3,10,Champions
AR-10825,Anthony Rawles,Corporate,23,38,15311.04,3,4,4,11,Loyal Customers
AR-345,Alex Russell,Corporate,142,9,2301.07,1,2,2,5,Lost
AR-405,Allen Rosenblatt,Corporate,223,6,571.11,1,1,1,3,Lost
AR-510,Andrew Roberts,Consumer,105,10,2638.64,1,2,2,5,Lost
AR-540,Andy Reiter,Consumer,222,8,561.6,1,2,1,4,Lost
AR-570,Anemone Ratner,Consumer,71,9,2044.28,2,2,2,6,At Risk
AR-825,Anthony Rawles,Corporate,34,7,2028.91,3,2,2,7,Potential Loyalists
AS-10045,Aaron Smayling,Corporate,24,28,12596.29,3,4,3,10,Loyal Customers
AS-10090,Adam Shillingsburg,Consumer,16,32,15009.47,3,4,4,11,Loyal Customers
AS-10135,Adrian Shami,Home Office,42,19,7307.24,2,3,3,8,At Risk
AS-10225,Alan Schoenberger,Corporate,13,28,21366.9,4,4,4,12,Champions
AS-10240,Alan Shonely,Consumer,13,31,9006.67,4,4,3,11,Champions
AS-10285,Alejandro Savely,Corporate,19,30,16179.86,3,4,4,11,Loyal Customers
AS-10630,Ann Steele,Home Office,36,19,9815.94,3,3,3,9,Loyal Customers
AS-135,Adrian Shami,Home Office,93,5,3978.81,2,1,2,5,Hibernating
AS-225,Alan Schoenberger,Corporate,3,7,469.52,4,2,1,7,Potential Loyalists
AS-240,Alan Shonely,Consumer,499,5,1686.51,1,1,2,4,Lost
AS-285,Alejandro Savely,Corporate,100,13,4938.46,2,2,2,6,At Risk
AS-45,Aaron Smayling,Corporate,234,3,1616.33,1,1,1,3,Lost
AS-630,Ann Steele,Home Office,34,11,2000.01,3,2,2,7,Potential Loyalists
AS-90,Adam Shillingsburg,Consumer,22,4,435.2,3,1,1,5,Potential Loyalists
AT-10435,Alyssa Tate,Home Office,13,24,13654.31,4,3,4,11,Champions
AT-10735,Annie Thurman,Consumer,3,29,12984.1,4,4,3,11,Champions
AT-435,Alyssa Tate,Home Office,29,12,1287.99,3,2,1,6,Potential Loyalists
AT-735,Annie Thurman,Consumer,70,5,403.65,2,1,1,4,Hibernating
AW-10840,Anthony Witt,Consumer,17,25,13200.26,3,3,4,10,Loyal Customers
AW-10930,Arthur Wiediger,Home Office,36,22,10230.96,3,3,3,9,Loyal Customers
AW-840,Anthony Witt,Consumer,57,7,1947.0,2,2,2,6,At Risk
AW-930,Arthur Wiediger,Home Office,38,6,782.06,2,1,1,4,Hibernating
AY-10555,Andy Yotov,Corporate,15,16,5446.61,4,3,2,9,Loyal Customers
AY-555,Andy Yotov,Corporate,36,11,3096.42,3,2,2,7,Potential Loyalists
AZ-10750,Annie Zypern,Consumer,71,18,9639.8,2,3,3,8,At Risk
AZ-750,Annie Zypern,Consumer,27,10,2231.28,3,2,2,7,Potential Loyalists
BB-10990,Barry Blumstein,Corporate,15,30,9064.53,4,4,3,11,Champions
BB-11545,Brenda Bowman,Corporate,29,26,15797.57,3,3,4,10,Loyal Customers
BB-1545,Brenda Bowman,Corporate,50,5,207.23,2,1,1,4,Hibernating
BB-990,Barry Blumstein,Corporate,51,7,822.29,2,2,1,5,Hibernating
BC-11125,Becky Castell,Home Office,34,28,14789.45,3,4,4,11,Loyal Customers
BC-1125,Becky Castell,Home Office,30,6,396.04,3,1,1,5,Potential Loyalists
BD-11320,Bill Donatelli,Consumer,6,32,13390.27,4,4,4,12,Champions
BD-11500,Bradley Drucker,Consumer,20,27,13089.85,3,4,3,10,Loyal Customers
BD-11560,Brendan Dodson,Home Office,8,19,9356.78,4,3,3,10,Champions
BD-11605,Brian Dahlen,Consumer,98,19,9202.66,2,3,3,8,At Risk
BD-11620,Brian DeCherney,Consumer,50,25,7849.0,2,3,3,8,At Risk
BD-11635,Brian Derr,Consumer,10,25,11230.7,4,3,3,10,Champions
BD-11725,Bruce Degenhardt,Consumer,5,30,10877.83,4,4,3,11,Champions
BD-11770,Bryan Davis,Consumer,36,26,10168.33,3,3,3,9,Loyal Customers
BD-1320,Bill Donatelli,Consumer,6,6,1885.05,4,1,2,7,Potential Loyalists
BD-1500,Bradley Drucker,Consumer,399,3,52.05,1,1,1,3,Lost
BD-1560,Brendan Dodson,Home Office,91,5,1564.02,2,1,1,4,Hibernating
BD-1605,Brian Dahlen,Consumer,276,5,689.64,1,1,1,3,Lost
BD-1620,Brian DeCherney,Consumer,118,11,2919.6,1,2,2,5,Lost
BD-1635,Brian Derr,Consumer,325,9,5689.26,1,2,2,5,Lost
BD-1725,Bruce Degenhardt,Consumer,101,13,5078.4,1,2,2,5,Lost
BD-1770,Bryan Davis,Consumer,239,5,3405.07,1,1,2,4,Lost
BE-11335,Bill Eplett,Home Office,36,37,27158.02,3,4,4,11,Loyal Customers
BE-11410,Bobby Elias,Consumer,85,30,16552.07,2,4,4,10,At Risk
BE-11455,Brad Eason,Home Office,4,27,17643.53,4,4,4,12,Champions
BE-1335,Bill Eplett,Home Office,573,5,1321.15,1,1,1,3,Lost
BE-1410,Bobby Elias,Consumer,22,7,1859.86,3,2,2,7,Potential Loyalists
BE-1455,Brad Eason,Home Office,147,2,1340.31,1,1,1,3,Lost
BF-1005,Barry Franz,Home Office,735,2,732.03,1,1,1,3,Lost
BF-1020,Barry Französisch,Corporate,97,7,3007.0,2,2,2,6,At Risk
BF-1080,Bart Folk,Consumer,210,6,3808.17,1,1,2,4,Lost
BF-10975,Barbara Fisher,Corporate,36,22,8104.78,3,3,3,9,Loyal Customers
BF-11005,Barry Franz,Home Office,9,25,23347.84,4,3,4,11,Champions
BF-11020,Barry Französisch,Corporate,16,24,10201.28,3,3,3,9,Loyal Customers
BF-11080,Bart Folk,Consumer,26,21,10134.56,3,3,3,9,Loyal Customers
BF-11170,Ben Ferrer,Home Office,17,31,22314.84,3,4,4,11,Loyal Customers
BF-11215,Benjamin Farhat,Home Office,27,27,12968.94,3,4,3,10,Loyal Customers
BF-11275,Beth Fritzler,Corporate,7,23,9578.6,4,3,3,10,Champions
BF-1170,Ben Ferrer,Home Office,194,6,904.92,1,1,1,3,Lost
BF-1215,Benjamin Farhat,Home Office,118,5,398.92,1,1,1,3,Lost
BF-1275,Beth Fritzler,Corporate,129,7,1009.97,1,2,1,4,Lost
BF-975,Barbara Fisher,Corporate,23,8,1730.23,3,2,2,7,Potential Loyalists
BG-1035,Barry Gonzalez,Consumer,601,1,124.42,1,1,1,3,Lost
BG-11035,Barry Gonzalez,Consumer,29,33,19899.15,3,4,4,11,Loyal Customers
BG-11695,Brooke Gillingham,Corporate,10,19,10723.32,4,3,3,10,Champions
BG-11740,Bruce Geld,Consumer,7,24,14689.34,4,3,4,11,Champions
BG-1695,Brooke Gillingham,Corporate,45,5,488.85,2,1,1,4,Hibernating
BG-1740,Bruce Geld,Consumer,17,4,692.45,3,1,1,5,Potential Loyalists
BH-11710,Brosina Hoffman,Consumer,24,31,23537.34,3,4,4,11,Loyal Customers
BH-1710,Brosina Hoffman,Consumer,94,10,4583.29,2,2,2,6,At Risk
BK-11260,Berenike Kampe,Consumer,27,27,13294.69,3,4,4,11,Loyal Customers
BK-1260,Berenike Kampe,Consumer,41,6,291.56,2,1,1,4,Hibernating
BM-11140,Becky Martin,Consumer,9,29,25312.29,4,4,4,12,Champions
BM-1140,Becky Martin,Consumer,14,6,1857.69,4,1,2,7,Potential Loyalists
BM-11575,Brendan Murry,Corporate,35,25,10351.33,3,3,3,9,Loyal Customers
BM-11650,Brian Moss,Corporate,34,24,14921.0,3,3,4,10,Loyal Customers
BM-11785,Bryan Mills,Consumer,3,36,18446.85,4,4,4,12,Champions
BM-1575,Brendan Murry,Corporate,41,9,1703.98,2,2,2,6,At Risk
BM-1650,Brian Moss,Corporate,482,8,2537.11,1,2,2,5,Lost
BM-1785,Bryan Mills,Consumer,49,9,2244.34,2,2,2,6,At Risk
BN-11470,Brad Norvell,Corporate,12,29,23378.1,4,4,4,12,Champions
BN-11515,Bradley Nguyen,Consumer,10,23,10272.23,4,3,3,10,Champions
BN-1470,Brad Norvell,Corporate,23,7,2823.85,3,2,2,7,Potential Loyalists
BN-1515,Bradley Nguyen,Consumer,28,8,2606.8,3,2,2,7,Potential Loyalists
BO-11350,Bill Overfelt,Corporate,112,20,7476.25,1,3,3,7,Cant Lose Them
BO-11425,Bobby Odegard,Consumer,6,21,12356.59,4,3,3,10,Champions
BO-1350,Bill Overfelt,Corporate,22,6,616.24,3,1,1,5,Potential Loyalists
BO-1425,Bobby Odegard,Consumer,2,8,2671.26,4,2,2,8,Potential Loyalists
BP-1050,Barry Pond,Corporate,12,9,4981.54,4,2,2,8,Potential Loyalists
BP-1095,Bart Pistole,Corporate,12,6,1759.67,4,1,2,7,Potential Loyalists
BP-11050,Barry Pond,Corporate,6,21,5403.79,4,3,2,9,Loyal Customers
BP-11095,Bart Pistole,Corporate,3,32,8327.87,4,4,3,11,Champions
BP-11155,Becky Pak,Consumer,33,24,13696.14,3,3,4,10,Loyal Customers
BP-11185,Ben Peterman,Corporate,2,28,15376.03,4,4,4,12,Champions
BP-11230,Benjamin Patterson,Consumer,40,23,12573.61,2,3,3,8,At Risk
BP-11290,Beth Paige,Consumer,13,29,12448.9,4,4,3,11,Champions
BP-1155,Becky Pak,Consumer,262,6,1110.78,1,1,1,3,Lost
BP-1185,Ben Peterman,Corporate,5,10,1430.62,4,2,1,7,Potential Loyalists
BP-1230,Benjamin Patterson,Consumer,84,8,6134.99,2,2,2,6,At Risk
BP-1290,Beth Paige,Consumer,370,4,383.34,1,1,1,3,Lost
BS-11365,Bill Shonely,Corporate,1,26,22551.03,4,3,4,11,Champions
BS-11380,Bill Stewart,Corporate,29,23,18305.98,3,3,4,10,Loyal Customers
BS-11590,Brendan Sweed,Corporate,36,23,11358.59,3,3,3,9,Loyal Customers
BS-11665,Brian Stugart,Consumer,30,24,17468.88,3,3,4,10,Loyal Customers
BS-11755,Bruce Stewart,Consumer,2,29,17557.46,4,4,4,12,Champions
BS-11800,Bryan Spruell,Home Office,10,21,10887.21,4,3,3,10,Champions
BS-1365,Bill Shonely,Corporate,38,5,957.63,2,1,1,4,Hibernating
BS-1380,Bill Stewart,Corporate,132,5,469.46,1,1,1,3,Lost
BS-1590,Brendan Sweed,Corporate,238,5,819.45,1,1,1,3,Lost
BS-1665,Brian Stugart,Consumer,153,7,5101.91,1,2,2,5,Lost
BS-1755,Bruce Stewart,Consumer,296,5,1679.76,1,1,2,4,Lost
BS-1800,Bryan Spruell,Home Office,12,9,6364.85,4,2,3,9,Potential Loyalists
BT-11305,Beth Thompson,Home Office,29,24,10321.82,3,3,3,9,Loyal Customers
BT-11395,Bill Tyler,Corporate,29,24,11347.53,3,3,3,9,Loyal Customers
BT-11440,Bobby Trafton,Consumer,52,21,8263.98,2,3,3,8,At Risk
BT-11485,Brad Thomas,Home Office,31,29,8878.05,3,4,3,10,Loyal Customers
BT-11530,Bradley Talbott,Home Office,34,25,13808.32,3,3,4,10,Loyal Customers
BT-11680,Brian Thompson,Consumer,19,22,14087.76,3,3,4,10,Loyal Customers
BT-1305,Beth Thompson,Home Office,32,10,1305.96,3,2,1,6,Potential Loyalists
BT-1395,Bill Tyler,Corporate,34,4,448.85,3,1,1,5,Potential Loyalists
BT-1440,Bobby Trafton,Consumer,94,10,2132.56,2,2,2,6,At Risk
BT-1485,Brad Thomas,Home Office,98,9,2803.97,2,2,2,6,At Risk
BT-1530,Bradley Talbott,Home Office,353,7,1535.78,1,2,1,4,Lost
BT-1680,Brian Thompson,Consumer,58,4,807.36,2,1,1,4,Hibernating
BV-11245,Benjamin Venier,Corporate,45,22,20681.68,2,3,4,9,At Risk
BV-1245,Benjamin Venier,Corporate,129,3,684.26,1,1,1,3,Lost
BW-1065,Barry Weirich,Consumer,23,5,9027.48,3,1,3,7,Potential Loyalists
BW-11065,Barry Weirich,Consumer,51,18,8409.06,2,3,3,8,At Risk
BW-1110,Bart Watters,Corporate,185,10,1696.83,1,2,2,5,Lost
BW-11110,Bart Watters,Corporate,55,35,30613.62,2,4,4,10,At Risk
BW-11200,Ben Wallace,Consumer,41,29,11862.37,2,4,3,9,At Risk
BW-1200,Ben Wallace,Consumer,134,4,3105.82,1,1,2,4,Lost
CA-11965,Carol Adams,Corporate,19,26,21110.52,3,3,4,10,Loyal Customers
CA-12055,Cathy Armstrong,Home Office,14,22,10691.03,4,3,3,10,Champions
CA-12265,Christina Anderson,Consumer,35,31,18472.67,3,4,4,11,Loyal Customers
CA-12310,Christine Abelman,Corporate,14,21,7166.23,4,3,3,10,Champions
CA-12775,Cynthia Arntzen,Consumer,94,26,18350.46,2,3,4,9,At Risk
CA-1965,Carol Adams,Corporate,128,8,2883.14,1,2,2,5,Lost
CA-2055,Cathy Armstrong,Home Office,259,3,1601.73,1,1,1,3,Lost
CA-2265,Christina Anderson,Consumer,106,7,3364.64,1,2,2,5,Lost
CA-2310,Christine Abelman,Corporate,337,5,636.06,1,1,1,3,Lost
CA-2775,Cynthia Arntzen,Consumer,310,4,1485.9,1,1,1,3,Lost
CB-12025,Cassandra Brandow,Consumer,10,25,11685.32,4,3,3,10,Champions
CB-12415,Christy Brittain,Consumer,27,23,12705.55,3,3,3,9,Loyal Customers
CB-12535,Claudia Bergmann,Corporate,43,27,18108.67,2,4,4,10,At Risk
CB-2025,Cassandra Brandow,Consumer,23,5,1840.89,3,1,2,6,Potential Loyalists
CB-2415,Christy Brittain,Consumer,517,4,1232.57,1,1,1,3,Lost
CB-2535,Claudia Bergmann,Corporate,8,2,147.12,4,1,1,6,Potential Loyalists
CC-12100,Chad Cunningham,Home Office,52,25,11500.12,2,3,3,8,At Risk
CC-12145,Charles Crestani,Consumer,83,24,12190.67,2,3,3,8,At Risk
CC-12220,Chris Cortes,Consumer,21,32,7308.73,3,4,3,10,Loyal Customers
CC-12370,Christopher Conant,Consumer,44,30,28229.85,2,4,4,10,At Risk
CC-12430,Chuck Clark,Home Office,1,29,13997.59,4,4,4,12,Champions
CC-12475,Cindy Chapman,Consumer,17,30,17159.8,3,4,4,11,Loyal Customers
CC-12550,Clay Cheatham,Consumer,28,25,7908.65,3,3,3,9,Loyal Customers
CC-12610,Corey Catlett,Corporate,17,29,16822.64,3,4,4,11,Loyal Customers
CC-12670,Craig Carreira,Consumer,17,28,9969.03,3,4,3,10,Loyal Customers
CC-12685,Craig Carroll,Consumer,55,20,12798.54,2,3,3,8,At Risk
CC-2100,Chad Cunningham,Home Office,61,5,1020.05,2,1,1,4,Hibernating
CC-2145,Charles Crestani,Consumer,505,6,1158.18,1,1,1,3,Lost
CC-2220,Chris Cortes,Consumer,22,12,4174.18,3,2,2,7,Potential Loyalists
CC-2370,Christopher Conant,Consumer,7,9,6957.22,4,2,3,9,Potential Loyalists
CC-2430,Chuck Clark,Home Office,472,2,1041.57,1,1,1,3,Lost
CC-2475,Cindy Chapman,Consumer,56,7,3709.88,2,2,2,6,At Risk
CC-2550,Clay Cheatham,Consumer,272,5,1433.4,1,1,1,3,Lost
CC-2610,Corey Catlett,Corporate,345,3,782.39,1,1,1,3,Lost
CC-2670,Craig Carreira,Consumer,147,6,1527.58,1,1,1,3,Lost
CC-2685,Craig Carroll,Consumer,132,5,4019.41,1,1,2,4,Lost
CD-11920,Carlos Daly,Consumer,3,27,18296.75,4,4,4,12,Champions
CD-11980,Carol Darley,Consumer,2,23,11848.16,4,3,3,10,Champions
CD-12280,Christina DeMoss,Consumer,42,24,16779.55,2,3,4,9,At Risk
CD-12790,Cynthia Delaney,Home Office,77,25,13468.11,2,3,4,9,At Risk
CD-1920,Carlos Daly,Consumer,315,4,1821.22,1,1,2,4,Lost
CD-1980,Carol Darley,Consumer,7,7,1380.23,4,2,1,7,Potential Loyalists
CD-2280,Christina DeMoss,Consumer,13,7,1205.04,4,2,1,7,Potential Loyalists
CD-2790,Cynthia Delaney,Home Office,132,7,1030.79,1,2,1,4,Lost
CG-12040,Catherine Glotzbach,Home Office,22,19,3596.27,3,3,2,8,Loyal Customers
CG-12520,Claire Gute,Consumer,29,18,13545.47,3,3,4,10,Loyal Customers
CG-2040,Catherine Glotzbach,Home Office,379,5,518.94,1,1,1,3,Lost
CG-2520,Claire Gute,Consumer,120,7,1116.2,1,2,1,4,Lost
CH-12070,Cathy Hwang,Home Office,90,21,11122.56,2,3,3,8,At Risk
CH-2070,Cathy Hwang,Home Office,307,8,4545.62,1,2,2,5,Lost
CJ-11875,Carl Jackson,Corporate,14,23,12538.83,4,3,3,10,Champions
CJ-12010,Caroline Jumper,Consumer,34,26,19356.0,3,3,4,10,Loyal Customers
CJ-1875,Carl Jackson,Corporate,33,6,1431.43,3,1,1,5,Potential Loyalists
CJ-2010,Caroline Jumper,Consumer,47,3,223.56,2,1,1,4,Hibernating
CK-12205,Chloris Kastensmidt,Consumer,5,38,13625.21,4,4,4,12,Champions
CK-12325,Christine Kargatis,Home Office,62,27,9927.9,2,4,3,9,At Risk
CK-12595,Clytie Kelty,Consumer,44,33,16480.87,2,4,4,10,At Risk
CK-12760,Cyma Kinney,Corporate,58,26,6574.8,2,3,3,8,At Risk
CK-2205,Chloris Kastensmidt,Consumer,80,5,950.7,2,1,1,4,Hibernating
CK-2325,Christine Kargatis,Home Office,1,8,3125.3,4,2,2,8,Potential Loyalists
CK-2595,Clytie Kelty,Consumer,216,3,662.28,1,1,1,3,Lost
CK-2760,Cyma Kinney,Corporate,38,12,4015.95,2,2,2,6,At Risk
CL-11890,Carl Ludwig,Consumer,14,31,17622.41,4,4,4,12,Champions
CL-12565,Clay Ludtke,Consumer,6,30,17008.14,4,4,4,12,Champions
CL-12700,Craig Leslie,Home Office,9,31,17943.65,4,4,4,12,Champions
CL-1890,Carl Ludwig,Consumer,93,9,560.74,2,2,1,5,Hibernating
CL-2565,Clay Ludtke,Consumer,43,6,2775.64,2,1,2,5,Hibernating
CL-2700,Craig Leslie,Home Office,142,4,1432.37,1,1,1,3,Lost
CM-11815,Candace McMahon,Corporate,41,23,14362.8,2,3,4,9,At Risk
CM-11830,Cari MacIntyre,Corporate,7,24,16828.82,4,3,4,11,Champions
CM-11935,Carlos Meador,Consumer,37,18,9689.01,2,3,3,8,At Risk
CM-12115,Chad McGuire,Consumer,9,20,14657.95,4,3,4,11,Champions
CM-12160,Charles McCrossin,Consumer,27,26,17910.04,3,3,4,10,Loyal Customers
CM-12190,Charlotte Melton,Consumer,1,25,11375.05,4,3,3,10,Champions
CM-12235,Chris McAfee,Consumer,43,22,11377.59,2,3,3,8,At Risk
CM-12385,Christopher Martinez,Consumer,38,25,21882.97,2,3,4,9,At Risk
CM-12445,Chuck Magee,Consumer,16,25,11971.71,3,3,3,9,Loyal Customers
CM-12655,Corinna Mitchell,Home Office,28,18,14188.72,3,3,4,10,Loyal Customers
CM-12715,Craig Molinari,Corporate,42,19,8392.58,2,3,3,8,At Risk
CM-1815,Candace McMahon,Corporate,62,5,431.87,2,1,1,4,Hibernating
CM-1830,Cari MacIntyre,Corporate,114,13,4777.41,1,2,2,5,Lost
CM-1935,Carlos Meador,Consumer,49,7,459.29,2,2,1,5,Hibernating
CM-2115,Chad McGuire,Consumer,21,3,1907.37,3,1,2,6,Potential Loyalists
CM-2160,Charles McCrossin,Consumer,50,5,2245.92,2,1,2,5,Hibernating
CM-2190,Charlotte Melton,Consumer,153,4,1451.49,1,1,1,3,Lost
CM-2235,Chris McAfee,Consumer,52,5,243.03,2,1,1,4,Hibernating
CM-2385,Christopher Martinez,Consumer,575,4,580.61,1,1,1,3,Lost
CM-2445,Chuck Magee,Consumer,349,4,1741.58,1,1,2,4,Lost
CM-2655,Corinna Mitchell,Home Office,51,12,1389.83,2,2,1,5,Hibernating
CM-2715,Craig Molinari,Corporate,118,7,2838.26,1,2,2,5,Lost
